GarageBand	pst	Groovy Sync	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Groovy Sync.pst
GarageBand	pst	Nirvana	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Nirvana.pst
GarageBand	pst	Sync Lead A	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Lead A.pst
GarageBand	pst	Sync Lead B	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Lead B.pst
GarageBand	pst	Sync Lead C	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Lead C.pst
GarageBand	pst	Sync Lead D	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Lead D.pst
GarageBand	pst	Sync Pad A	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Pad A.pst
GarageBand	pst	Sync Pad B	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Pad B.pst
GarageBand	pst	Sync Pad C	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Pad C.pst
GarageBand	pst	Sync Pad D	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Pad D.pst
GarageBand	pst	Sync Percussive	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Percussive.pst
GarageBand	pst	Sync Tech	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Sync Tech.pst
GarageBand	pst	Synced Waves	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Synced Waves.pst
GarageBand	pst	Syncy	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Syncy.pst
GarageBand	pst	Syrenade	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Syrenade.pst
GarageBand	pst	Bass Snap	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Bass Snap.pst
GarageBand	pst	Bass Wah	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Bass Wah.pst
GarageBand	pst	Crunch Wah	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Crunch Wah.pst
GarageBand	pst	Cry Baby	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Cry Baby.pst
GarageBand	pst	Filter Ducks	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Filter Ducks.pst
GarageBand	pst	Funky Filter	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Funky Filter.pst
GarageBand	pst	Heavy Wah	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Heavy Wah.pst
GarageBand	pst	Hi Pass Autofilter	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Hi Pass Autofilter.pst
GarageBand	pst	Hi Reaction	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Hi Reaction.pst
GarageBand	pst	Light Peak	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Light Peak.pst
GarageBand	pst	Medium Wah	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Medium Wah.pst
GarageBand	pst	Static Peak	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Static Peak.pst
GarageBand	pst	Strong Gate	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Strong Gate.pst
GarageBand	pst	Wow	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Auto Wah/Wow.pst
GarageBand	pst	Club Next Door	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Automatic Filter/Club Next Door.pst
GarageBand	pst	Deep and Slow Filter	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Automatic Filter/Deep and Slow Filter.pst
GarageBand	pst	Deep and Slow Resonance	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Automatic Filter/Deep and Slow Resonance.pst
GarageBand	pst	Downbeat Saw	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Automatic Filter/Downbeat Saw.pst
